movie_data
"movie_name:No Time to Die year:2021 runtime:163 min genre:Action, Adventure, Thriller description:James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology. description:James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology. director:Cary Joji Fukunaga star:Daniel Craig, 
Ana de Armas, 
Rami Malek, 
Léa Seydoux"
"movie_name:Tenet year:2020 runtime:150 min genre:Action, Sci-Fi, Thriller description:Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time. description:Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time. director:Christopher Nolan star:John David Washington, 
Robert Pattinson, 
Elizabeth Debicki, 
Juhan Ulfsak"
"movie_name:Heat year:1995 runtime:170 min genre:Action, Crime, Drama description:A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist. description:A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist. director:Michael Mann star:Al Pacino, 
Robert De Niro, 
Val Kilmer, 
Jon Voight"
"movie_name:The Suicide Squad year:2021 runtime:132 min genre:Action, Adventure, Comedy description:Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese. description:Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese. director:James Gunn star:Margot Robbie, 
Idris Elba, 
John Cena, 
Joel Kinnaman"
"movie_name:The Mummy year:1999 runtime:124 min genre:Action, Adventure, Fantasy description:At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love. description:At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love. director:Stephen Sommers star:Brendan Fraser, 
Rachel Weisz, 
John Hannah, 
Arnold Vosloo"
"movie_name:Dunkirk year:2017 runtime:106 min genre:Action, Drama, History description:Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II. description:Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II. director:Christopher Nolan star:Fionn Whitehead, 
Barry Keoghan, 
Mark Rylance, 
Tom Hardy"
"movie_name:Jurassic Park year:1993 runtime:127 min genre:Action, Adventure, Sci-Fi description:A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose. description:A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose. director:Steven Spielberg star:Sam Neill, 
Laura Dern, 
Jeff Goldblum, 
Richard Attenborough"
"movie_name:Kingsman: The Golden Circle year:2017 runtime:141 min genre:Action, Adventure, Comedy description:After the Kingsman's headquarters are destroyed and the world is held hostage, an allied spy organization in the United States is discovered. These two elite secret agencies must band together to defeat a common enemy. description:After the Kingsman's headquarters are destroyed and the world is held hostage, an allied spy organization in the United States is discovered. These two elite secret agencies must band together to defeat a common enemy. director:Matthew Vaughn star:Taron Egerton, 
Colin Firth, 
Mark Strong, 
Channing Tatum"
"movie_name:Willow year:1988 runtime:126 min genre:Action, Adventure, Drama description:A young farmer is chosen to undertake a perilous journey in order to protect a special baby from an evil queen. description:A young farmer is chosen to undertake a perilous journey in order to protect a special baby from an evil queen. director:Ron Howard star:Val Kilmer, 
Joanne Whalley, 
Warwick Davis, 
Jean Marsh"
